epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.154,1.19017,2.28355,1.52714,0.51348,0.22437,0.36779,0.25125,1.49447,3.29451,1.63256,0.00058,0.00058,0.00058
2,76.4552,1.11662,1.85212,1.39577,0.50734,0.33333,0.31348,0.1977,1.712,2.86063,1.87363,0.00116331,0.00116331,0.00116331
3,112.424,1.14795,1.83089,1.43259,0.29118,0.27273,0.21902,0.10668,2.19357,3.37748,2.14235,0.00172965,0.00172965,0.00172965
4,148.091,1.15807,1.70511,1.40757,0.42832,0.38617,0.33761,0.19251,1.89458,3.41063,2.11138,0.00191514,0.00191514,0.00191514
5,184.757,1.16504,1.6855,1.43304,0.28045,0.33333,0.25294,0.13212,1.85202,3.63078,1.93947,0.00188686,0.00188686,0.00188686
6,220.582,1.20504,1.61636,1.4461,0.42562,0.38198,0.33271,0.18436,1.94208,3.96465,2.21109,0.00185857,0.00185857,0.00185857
7,256.059,1.23744,1.60332,1.46198,0.3637,0.30303,0.28334,0.18455,1.79643,2.86237,1.86594,0.00183029,0.00183029,0.00183029
8,291.277,1.11498,1.57148,1.40655,0.50846,0.34512,0.32737,0.21964,1.80207,2.69435,2.00928,0.001802,0.001802,0.001802
9,326.885,1.12934,1.47395,1.39553,0.54388,0.63636,0.54775,0.35302,1.50325,2.45807,1.62416,0.00177371,0.00177371,0.00177371
10,362.529,1.15915,1.53666,1.41404,0.55278,0.44962,0.42164,0.30342,1.7864,2.3519,1.70077,0.00174543,0.00174543,0.00174543
11,399.93,1.11224,1.43285,1.37737,0.83318,0.45408,0.558,0.36778,1.68673,2.16882,1.61452,0.00171714,0.00171714,0.00171714
12,436.916,1.07428,1.31497,1.37725,0.58782,0.57576,0.52111,0.29338,1.71368,1.88253,1.81983,0.00168886,0.00168886,0.00168886
13,473.458,1.09707,1.3362,1.34089,0.67139,0.39394,0.5004,0.21127,1.86824,2.19254,1.79087,0.00166057,0.00166057,0.00166057
14,508.942,1.07931,1.32411,1.36313,0.55354,0.48485,0.39175,0.19322,1.80257,2.83833,1.88243,0.00163229,0.00163229,0.00163229
15,544.055,1.05654,1.23482,1.30619,0.38845,0.48485,0.30589,0.1599,1.73835,2.77151,1.74755,0.001604,0.001604,0.001604
16,579.442,1.0696,1.16458,1.33645,0.44713,0.51515,0.47482,0.29624,1.69639,2.4274,1.76934,0.00157571,0.00157571,0.00157571
